title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
The Lost Crown: A Ghost-hunting Adventure,PC,7,8.4,7,Adventure,Got Game Entertainment,Darkling Room,03.03.2008,24.03.2008
Warriors Orochi,PlayStation Portable,6.5,7.9,42,Action,KOEI,Omega Force,25.03.2008,24.03.2008
Spelunker,Wii,2.5,4.7,6,Platformer,Irem Software Engineering,Irem Software Engineering,17.03.2008,24.03.2008
Viking: Battle for Asgard,Xbox 360,6.5,7.7,374,Action,SEGA,Creative Assembly,25.03.2008,24.03.2008
Metal Gear Solid Mobile,Wireless,8,8.9,12,Action,Konami,Kojima Productions,19.03.2008,24.03.2008
Viking: Battle for Asgard,PlayStation 3,6.3,7,177,Action,SEGA,Creative Assembly,25.03.2008,24.03.2008
Dark Sector,PlayStation 3,7.7,7.6,465,Shooter,D3 Publisher,Digital Extremes,25.03.2008,25.03.2008
Imperium Romanum,PC,6,8.3,18,Strategy,SouthPeak Games,Haemimont Games AD,10.03.2008,24.03.2008
Petz: Bunnyz,Nintendo DS,7,8.5,4,Virtual Pet,Ubisoft,Digital Kids,04.03.2008,08.04.2008
Popeye,Wireless,8.5,10,1,Action,Namco Networks,Namco Networks,,25.03.2008
Kawasaki Quad Bikes,Wii,2,1,6,Racing,Bold Games (Destineer),Data Design Interactive,26.10.2007,08.04.2008
George of the Jungle and the Search for the Secret,PlayStation 2,3.1,3,6,Action,Crave Entertainment,,11.03.2008,09.04.2008
Heavenly Guardian,PlayStation 2,4,5.6,8,Action,UFO Interactive,Starfish,26.02.2008,08.04.2008
The Sims 2: Castaway,Wireless,7,8.8,3,Simulation,Electronic Arts,G5 Entertainment,02.04.2008,08.04.2008
Sprint Cars 2: Showdown at Eldora,PlayStation 2,2.3,6.8,4,Racing,THQ,,11.03.2008,10.04.2008
Assassin's Creed: Director's Cut Edition,PC,7.8,8.3,1122,Action,Ubisoft,Ubisoft,08.04.2008,08.04.2008
Overclocked: A History of Violence,PC,7,7.8,13,Adventure,Lighthouse Interactive,Anaconda,11.04.2008,10.04.2008
"Sam & Max: Season Two -- Episode #5: What's New, Beelzebub?",PC,8.2,8.8,15,Adventure,Telltale Games,GameTap,10.04.2008,10.04.2008
Pirates of the Caribbean: Aegir's Fire,Wireless,7,-1,-1,Action,Disney Interactive Studios,Leviathan Games,,10.04.2008
Monopoly: Here & Now (2008),Wireless,8.5,7.1,4,Board,Electronic Arts,Electronic Arts,02.04.2008,10.04.2008
Powerball,Wii,6,7.3,3,Sports,SEGA,,24.03.2008,10.04.2008
Championship Pony,Nintendo DS,5,-1,-1,Sports,"Destination Software, Inc. (DSI)",,20.03.2008,11.04.2008
Lost Empire: Immortals,PC,6,7.1,11,Strategy,Paradox Interactive,Pollux Gamelabs,11.03.2008,11.04.2008
Okami,Wii,9,9.2,1474,Adventure,Capcom,Ready At Dawn Studios,15.04.2008,11.04.2008
Fantasy Zone,Wii,8.5,8.1,17,Shooter,SEGA,SEGA,14.04.2008,14.04.2008
Europa Universalis: Rome,PC,8.7,6.8,66,Strategy,Paradox Interactive,Paradox Interactive,15.04.2008,14.04.2008
Dora the Explorer: Dora Saves The Mermaids,PlayStation 2,5,10,1,Adventure,2K Play,Totally Games,11.02.2008,14.04.2008
Rocky and Bullwinkle,Xbox 360,3,3.9,12,Action,Microsoft,Zen Studios,16.04.2008,15.04.2008
Bases Loaded,Wii,4.5,6.4,10,Sports,Jaleco,Jaleco,07.04.2008,16.04.2008
Ego,Wireless,8.9,7.1,5,Simulation,Punch Entertainment,Punch Entertainment,01.04.2008,16.04.2008
Gran Turismo 5 Prologue,PlayStation 3,8.5,8.1,1539,Racing,Sony Computer Entertainment,Polyphony Digital,15.04.2008,15.04.2008
Fantasy Zone,Master System,8.5,-1,-1,Shooter,SEGA,SEGA,,14.04.2008
Ninja Reflex: Steamworks Edition,PC,6,7.4,11,Party,Valve,Sanzaru Games,21.03.2007,16.04.2008
Bases Loaded,NES,4.5,7.3,129,Sports,Jaleco,Jaleco,,16.04.2008
Battlezone,Xbox 360,6,6.1,19,Shooter,Atari,Atari,16.04.2008,16.04.2008
Air Diver,Genesis,3.5,6.5,9,Flight,Asmik Corporation,Asmik Corporation,31.12.1990,17.04.2008
Teenage Zombies: Invasion of the Alien Brain Thingys!,Nintendo DS,6.8,7.4,38,Platformer,Ignition Entertainment,InLight Entertainment,15.04.2008,16.04.2008
George of the Jungle and the Search for the Secret,Nintendo DS,5.4,10,1,Action,Crave Entertainment,,11.03.2008,18.04.2008
Super Stardust HD Solo,PlayStation 3,8.2,8.2,94,Shooter,Sony Computer Entertainment,Housemarque,15.04.2008,17.04.2008
Imagine: Figure Skater,Nintendo DS,6.5,9.8,4,Sports,Ubisoft,,04.03.2008,18.04.2008
Warhawk -- Operation: Broken Mirror,PlayStation 3,8.5,8.3,104,Flight,Sony Computer Entertainment,Incognito Entertainment,17.04.2008,18.04.2008
Diary Girl,Nintendo DS,4.5,10,1,Productivity,Konami,,18.03.2008,18.04.2008
Saga,PC,5,6.4,10,Strategy,Silverlode Interactive,Saga Games,04.03.2008,18.04.2008
Mario Kart Wii,Wii,8.5,8.7,6596,Racing,Nintendo,Nintendo,27.04.2008,20.04.2008
Valis III,Genesis,7.5,7.9,25,Adventure,Telenet Japan (Nippon Telenet),Renovation,,21.04.2008
NBA Ballers: Chosen One,Xbox 360,6,6.1,49,Sports,Midway Games,Midway Amusement Games,21.04.2008,21.04.2008
NBA Ballers: Chosen One,PlayStation 3,6,6.6,24,Sports,Midway Games,Midway Amusement Games,21.04.2008,21.04.2008
Magic Online III,PC,5.5,5.8,9,Card,Wizards of the Coast,Wizards of the Coast,16.04.2008,21.04.2008
Fatal Fury: Battle Archives Volume 2,PlayStation 2,7,8.5,26,Fighting,SNK Playmore,SNK Playmore,08.04.2008,21.04.2008
Tom Clancy's Rainbow Six: Vegas 2,PC,7.7,8.1,208,Shooter,Ubisoft,Ubisoft,15.04.2008,21.04.2008
River City Ransom,Wii,9,8.7,94,Action,Aksys Games,Technos,21.04.2008,21.04.2008
Fantasy Aquarium,Nintendo DS,1,3.1,11,Simulation,Ertain,Ertain,17.03.2008,21.04.2008
Lost Cities,Xbox 360,5.5,5.8,19,Card,Sierra,Sierra,23.04.2008,22.04.2008
Pokemon Mystery Dungeon: Explorers of Time,Nintendo DS,6.5,8.3,340,RPG,Nintendo,Chunsoft,20.04.2008,22.04.2008
Pokemon Mystery Dungeon: Explorers of Darkness,Nintendo DS,6.5,8.1,289,RPG,Nintendo,Chunsoft,20.04.2008,22.04.2008
Rondo of Swords,Nintendo DS,6.8,7.4,46,Strategy,Atlus,Success,15.04.2008,22.04.2008
Mega Turrican,Genesis,7.5,8.4,23,Action,Data East,Factor 5,31.12.1994,23.04.2008
Shin Megami Tensei: Persona 3 FES,PlayStation 2,8.8,9.2,555,RPG,Atlus,Atlus,22.04.2008,22.04.2008
Panzer Command: Kharkov,PC,6.7,8.2,5,Strategy,Matrix Games,Matrix Games,11.04.2008,23.04.2008
Mega Turrican,Wii,7.5,7.8,9,Action,Factor 5,Factor 5,14.04.2008,23.04.2008
Fab 5 Soccer,Nintendo DS,5,4.5,3,Sports,SouthPeak Games,,11.04.2008,23.04.2008
Riddle of the Tomb,PC,7.7,8,1,Adventure,DreamCatcher Interactive,TBA,02.04.2008,23.04.2008
High School Musical 2: Work This Out,Nintendo DS,4,6.3,3,Music,Buena Vista Games,,15.04.2008,23.04.2008
Major League Baseball 2K8 Fantasy All-Stars,Nintendo DS,5.5,8,2,Sports,2K Games,Deep Fried Entertainment,15.04.2008,23.04.2008
Turok,PC,7,7.4,82,Shooter,Touchstone,Propaganda Games,22.04.2008,24.04.2008
Battle of the Bands,Wii,5.6,5.8,25,Music,THQ,Planet Moon Studios,21.04.2008,24.04.2008
Grand Theft Auto IV,PlayStation 3,10,9.1,9928,Action,Rockstar Games,Rockstar North,29.04.2008,25.04.2008
Biathlon 2008,PlayStation 2,2,1.1,2,Sports,Conspiracy Entertainment,49Games,19.02.2008,25.04.2008
Rafa Nadal Tennis,Nintendo DS,5.5,6.3,7,Sports,Codemasters,Virtual Toys,30.06.2007,25.04.2008
Octomania,Wii,7.6,7.7,13,Puzzle,Conspiracy Entertainment,Compile Heart,25.03.2008,25.04.2008
Grand Theft Auto IV,Xbox 360,10,9.1,12432,Action,Rockstar Games,Rockstar North,29.04.2008,25.04.2008
Phantasy Star III: Generations of Doom,Wii,6.5,7.5,20,RPG,SEGA,SEGA,21.04.2008,25.04.2008
Cory in the House,Nintendo DS,3,8,33,Action,Disney Interactive Studios,Disney Interactive Studios,15.04.2008,25.04.2008
SNK Arcade Classics: Volume 1,PlayStation 2,6.7,8.2,30,Action,SNK Playmore,SNK,29.04.2008,28.04.2008
MiniCopter: Adventure Flight,Wii,4,6.2,6,Flight,Aksys Games,Sonic Powered Co. Ltd.,08.04.2008,28.04.2008
Baroque,Wii,5.4,7.1,59,RPG,Atlus,Sting,08.04.2008,28.04.2008
Yahtzee Adventures,Wireless,6.5,9.1,2,Board,Electronic Arts,Electronic Arts,02.04.2008,28.04.2008
Double Dragon,Wii,7.5,7.8,42,Fighting,Aksys Games,Technos,28.04.2008,28.04.2008
Double Dragon,NES,7.5,8,369,Action,Tradewest,Technos,,28.04.2008
Tetris Blockout,Wireless,5.5,-1,-1,Puzzle,Electronic Arts,Cocoasoft,,28.04.2008
Jack Keane,PC,7.5,7.6,19,Adventure,10TACLE Studios,Deck 13,15.04.2008,28.04.2008
Summer Sports: Paradise Island,Wii,4.4,5.1,18,Sports,Destineer,Digital Embryo,15.04.2008,29.04.2008
Grand Theft Auto IV (Special Edition),Xbox 360,10,9.4,560,Action,Rockstar Games,Rockstar North,29.04.2008,29.04.2008
Great War Nations: The Spartans,PC,6,3.1,6,Strategy,DreamCatcher Interactive,World Forge,02.05.2008,29.04.2008
Baroque,PlayStation 2,5.4,6.5,40,RPG,Atlus,Sting,08.04.2008,30.04.2008
Dream Pinball 3D,Wii,5.1,5.7,8,Pinball,SouthPeak Games,TopWare Interactive,31.03.2008,30.04.2008
Stranger,PC,4.4,7.3,5,Strategy,Fireglow Games,Fireglow Online Games,26.03.2008,29.04.2008
Puppy Luv: Your New Best Friend,Wii,3.5,4.2,5,Virtual Pet,Activision Value,Gogii Games,23.11.2007,30.04.2008
Aquarium,Nintendo DS,1,5.7,10,Simulation,Ertain,Ertain,17.03.2008,01.05.2008
Iron Man,Wireless,5,3.6,11,Action,Hands-On Mobile (aka MFORMA),Marvel Interactive,30.04.2008,30.04.2008
Speed Racer: The Videogame,Wireless,7,7,1,Racing,Glu Mobile,Glu Mobile,,01.05.2008
Dancing With The Stars,Wireless,4.5,-1,-1,Music,ValuSoft,,15.04.2008,01.05.2008
Yie Ar Kung Fu,Wireless,4,-1,-1,Fighting,Konami,,,01.05.2008
Lumines,PC,6.8,7,11,Puzzle,WildTangent,Q Entertainment,29.11.2007,01.05.2008
Toy Shop,Nintendo DS,3,7.7,4,Simulation,Majesco,GAMEINVEST,29.04.2008,01.05.2008
Dream Pinball 3D,Nintendo DS,6.5,5.9,6,Pinball,SouthPeak Games,TopWare Interactive,22.04.2008,01.05.2008
Dream Pinball 3D,PC,5.1,7.6,8,Pinball,SouthPeak Games,TopWare Interactive,04.02.2008,02.05.2008
Corvette Evolution GT,Nintendo DS,4.8,7,3,Racing,Valcon Games,Island Racing Studios,28.04.2008,02.05.2008
Echochrome,PlayStation 3,8.6,7.9,514,Puzzle,Sony Computer Entertainment,Game Yaruoze,01.05.2008,02.05.2008
Echochrome,PlayStation Portable,8.5,7.9,208,Puzzle,Sony Computer Entertainment,Game Yaruoze,01.05.2008,02.05.2008
SNK Arcade Classics: Volume 1,PlayStation Portable,6.9,7.6,30,Action,SNK Playmore,SNK,29.04.2008,02.05.2008
Real Soccer 2008,Nintendo DS,4.5,10,1,Sports,Ubisoft,Gameloft,05.02.2008,02.05.2008
Sudden Strike 3: Arms for Victory,PC,5.3,7.8,12,Strategy,cdv Software Entertainment,Fireglow Games,31.03.2008,02.05.2008
Plushees,Nintendo DS,4,5.1,2,Virtual Pet,Destineer,,11.04.2008,02.05.2008
Renegade,Wii,6,7.8,7,Fighting,Aksys Games,Technos,05.05.2008,05.05.2008
Crosswords DS,Nintendo DS,8,8.1,124,Puzzle,Nintendo,Nuevo Retro Games,05.05.2008,02.05.2008
Iron Man,Nintendo DS,6.2,6.9,22,Action,SEGA,A2M (Artificial Mind and Movement),02.05.2008,05.05.2008
Brain Voyage,Nintendo DS,5,7,3,Productivity,Eidos Interactive,Razorback Studios (formerly Proactive Software),29.04.2008,05.05.2008
Iron Man,Wii,5,6.3,44,Action,SEGA,A2M (Artificial Mind and Movement),02.05.2008,06.05.2008
Iron Man,PlayStation 3,3.8,5.6,156,Action,SEGA,Secret Level,02.05.2008,05.05.2008
Iron Man,Xbox 360,3.8,5.7,197,Action,SEGA,Secret Level,02.05.2008,05.05.2008
Wits & Wagers,Xbox 360,6.4,6.2,9,Trivia,Hidden Path Entertainment,Hidden Path Entertainment,07.05.2008,06.05.2008
Iron Man,PlayStation 2,5,6.8,65,Action,SEGA,A2M (Artificial Mind and Movement),02.05.8008,06.05.2008
Iron Man,PlayStation Portable,5.5,6.4,39,Action,SEGA,A2M (Artificial Mind and Movement),02.05.2008,06.05.2008
Boom Blox,Wii,8.1,8.2,616,Puzzle,Electronic Arts,Electronic Arts,06.05.2008,06.05.2008
WWII Aces,Wii,4.5,6.4,14,Flight,Destineer,Arcade Moon,21.03.2008,06.05.2008
Iron Man,PC,3.5,4.8,48,Action,SEGA,A2M (Artificial Mind and Movement),06.05.2008,07.05.2008
Dancing with the Stars: The PC Game,PC,3.5,1.8,2,Music,ValuSoft,,15.04.2008,08.05.2008
Emergency Mayhem,Wii,5,4.5,6,Action,Codemasters,Supersonic Software,15.04.2008,07.05.2008
Pokemon Puzzle League,Wii,8,8.4,66,Puzzle,Nintendo,NST,05.05.2008,08.05.2008
My Horse & Me,PC,5,7.3,3,Simulation,Atari,W!Games,19.02.2008,09.05.2008
River King: Mystic Valley,Nintendo DS,5,8.5,8,RPG,Natsume,,22.04.2008,09.05.2008
Speed Racer: The Videogame,Wii,7,7.8,49,Racing,Warner Bros. Interactive,Sidhe,06.05.2008,09.05.2008
Castle of Shikigami III,Wii,7.9,7.6,33,Shooter,Aksys Games,ARC System Works,13.05.2008,09.05.2008
R-Type Command,PlayStation Portable,7.3,7.5,31,Strategy,Atlus,Irem Software Engineering,06.05.2008,09.05.2008
Seven Kingdoms: Conquest,PC,3,5,8,Strategy,DreamCatcher Interactive,Enlight,13.03.2008,12.05.2008
Defend Your Castle,Wii,7.9,7.7,144,Action,XGen Studios,XGen Studios,12.05.2008,12.05.2008
PixelJunk Monsters Encore,PlayStation 3,7.9,8.4,110,Strategy,Sony Computer Entertainment,Q-Games,08.05.2008,12.05.2008
LostWinds,Wii,8.2,8.3,529,Adventure,Frontier Developments,Frontier Developments,12.05.2008,12.05.2008
Pop,Wii,6,6.5,23,Puzzle,Nnooo,Nnooo,12.05.2008,12.05.2008
V.I.P. Casino: Blackjack,Wii,6.5,6.7,9,Card,High Voltage Software,High Voltage Software,12.05.2008,12.05.2008
TV Show King,Wii,6.4,6.9,36,Trivia,Gameloft,Gameloft,12.05.2008,12.05.2008
Galactic Civilizations II: Twilight of the Arnor,PC,9.1,8.5,88,Strategy,Stardock Entertainment,Stardock Entertainment,30.04.2008,12.05.2008
Golden Axe,Wireless,5,10,1,Action,SEGA,,01.05.2008,13.05.2008
"Scarface: Money, Power, Respect",Wireless,5.5,-1,-1,Action,,,,13.05.2008
Earnest Evans,Genesis,3,4.1,5,Platformer,Renovation,Wolf Team,31.12.1992,14.05.2008
Baseball Mogul 2009,PC,6.2,8.8,3,Sports,Sports Mogul,Strategy First,,14.05.2008
Gaiares,Genesis,8,8.5,40,Action,Renovation,Telenet Japan (Nippon Telenet),,14.05.2008
Final Fantasy Crystal Chronicles: My Life as a King,Wii,7.5,8,274,Adventure,Square Enix,Square Enix,12.05.2008,14.05.2008
Everyday Shooter,PC,8,7.4,10,Shooter,,Queasy Games,08.05.2008,14.05.2008
The Chronicles of Narnia: Prince Caspian,Nintendo DS,7,7.1,17,Action,Disney Interactive Studios,Fall Line Studio,15.05.2008,14.05.2008
Let's Yoga,Nintendo DS,7.5,8.8,4,Productivity,Konami,,29.04.2008,16.05.2008
Myst,Nintendo DS,4,5.8,21,Adventure,Empire Interactive,Hoplite Research,13.05.2008,16.05.2008
Wolves of the Pacific -- The Silent Hunter: U-Boat Missions,PC,7,7.4,5,Simulation,Ubisoft,Ubisoft,29.02.2008,16.05.2008
Powerboat GT,PC,6,8.6,4,Racing,DreamCatcher Interactive,TBA,25.02.2008,16.05.2008
Let's Pilates,Nintendo DS,7.9,7,3,Productivity,Konami,,29.04.2008,16.05.2008
Sky Kid,Wii,4,6.2,4,Shooter,Sunsoft,,19.05.2008,19.05.2008
Street Fighter II: Champion Edition,Wireless,7.8,10,2,Fighting,Capcom,Capcom,28.04.2008,16.05.2008
UEFA Euro 2008,Xbox 360,8.1,8.5,73,Sports,Electronic Arts,,19.05.2008,19.05.2008
The Chronicles of Narnia: Prince Caspian,PlayStation 3,6.3,5.7,29,Action,Disney Interactive Studios,Traveller's Tales,15.05.2008,19.05.2008
Harvest: Massive Encounter,PC,5.5,6.3,5,Strategy,Oxeye,Oxeye,05.03.2008,19.05.2008
Wii Fit,Wii,8,8,1529,Sports,Nintendo,Nintendo,19.05.2008,19.05.2008
UEFA Euro 2008,PlayStation 3,8.1,7.9,56,Sports,Electronic Arts,,19.05.2008,19.05.2008
SEGA Columns Deluxe,Wireless,7.4,-1,-1,Puzzle,SEGA,SEGA,,28.05.2008
Enemy Territory: Quake Wars,Xbox 360,6.1,6.5,128,Shooter,Activision,Nerve Software,27.05.2008,28.05.2008
Dilbert Cubicle Chaos,Wireless,7,7,1,Action,Namco Networks,Namco Networks,,28.05.2008
Enemy Territory: Quake Wars,PlayStation 3,5.3,5.6,81,Shooter,Activision,Underground Entertainment,27.05.2008,28.05.2008
Warlords (2008),Xbox 360,5,7.1,11,Action,Atari,Stainless Games,28.05.2008,28.05.2008
LEGO Indiana Jones: The Original Adventures,Xbox 360,8,7.9,1042,Action,LucasArts,Traveller's Tales,03.06.2008,29.05.2008
Buku Sudoku,Xbox 360,6,7.6,12,Puzzle,Microsoft,Absolutist,28.05.2008,29.05.2008
LEGO Indiana Jones: The Original Adventures,PlayStation 3,8,7.9,396,Action,LucasArts,Traveller's Tales,03.06.2008,29.05.2008
LEGO Indiana Jones: The Original Adventures,PlayStation Portable,7.7,7.9,74,Action,LucasArts,Traveller's Tales,03.06.2008,29.05.2008
LEGO Indiana Jones: The Original Adventures,Wii,8,8,347,Action,LucasArts,Traveller's Tales,03.06.2008,29.05.2008
LEGO Indiana Jones: The Original Adventures,PlayStation 2,8,8.4,102,Action,LucasArts,Traveller's Tales,03.06.2008,29.05.2008
LEGO Indiana Jones: The Original Adventures,PC,8,7.4,198,Action,LucasArts,Traveller's Tales,03.06.2008,29.05.2008
Metal Slug,Wii,8.5,8.4,32,Action,D4 Enterprise,SNK,27.05.2008,30.05.2008
Super Fantasy Zone,Genesis,8,8.2,4,Shooter,Sunsoft,Sunsoft,01.06.1993,30.05.2008
Space Force Captains,PC,4,6.8,4,Strategy,JoWooD Entertainment AG,Provox Games,03.03.2008,30.05.2008
Metal Slug,NeoGeo,8.5,9,32,Action,SNK,SNK,24.05.1996,30.05.2008
Protöthea,Wii,5.4,6.2,18,Shooter,Ubisoft,Digital Builders,02.06.2008,02.06.2008
UEFA Euro 2008,PlayStation Portable,6.8,7.9,9,Sports,Electronic Arts,,19.05.2008,02.06.2008
Rambo III,Genesis,7,7.3,20,Shooter,SEGA,SEGA,,02.06.2008
Aces of the Galaxy,Xbox 360,8.4,7.6,56,Action,Sierra,Artech Studios,04.06.2008,02.06.2008
Dracula: Origin,PC,8,7.5,33,Adventure,The Adventure Company,Frogwares,29.05.2008,02.06.2008
Toki Tori,Wii,8,8.1,95,Puzzle,Two Tribes BV,Two Tribes BV,02.06.2008,02.06.2008
Family Table Tennis,Wii,2.5,5.6,11,Sports,Aksys Games,ARC System Works,27.05.2008,03.06.2008
Indiana Jones' Greatest Adventure,Super NES,8,8,65,Action,LucasArts,Factor 5,27.07.1995,19.05.2008
Star Soldier R,Wii,6,7.7,32,Shooter,Hudson Soft,Hudson Soft,19.05.2008,19.05.2008
Lost Planet: Extreme Condition -- Colonies Edition,Xbox 360,7.5,7.5,204,Action,Capcom,Capcom,27.05.2008,03.06.2008
SingStar [2007] (Game & Microphone),PlayStation 3,8.5,7.8,297,Music,Sony Computer Entertainment,SCE Studios London,20.05.2008,19.05.2008
The Chronicles of Narnia: Prince Caspian,Xbox 360,6.3,6,35,Action,Disney Interactive Studios,Traveller's Tales,15.05.2008,19.05.2008
SingStar [2007] (Game Only Edition),PlayStation 3,8.5,8,61,Music,Sony Computer Entertainment,SCE Studios London,20.05.2008,19.05.2008
Sonic Jump 2,Wireless,7,-1,-1,Action,SEGA,SEGA,,20.05.2008
We Ski,Wii,6,7.3,76,Sports,Bandai Namco Games,Namco,13.05.2008,20.05.2008
Critter Round-Up,Wii,6.1,8.2,6,Action,Konami,Epicenter Studios,19.05.2008,20.05.2008
Grid,PlayStation 3,8.7,8.4,623,Racing,Codemasters,Codemasters,03.06.2008,22.05.2008
Indiana Jones and the Kingdom of the Crystal Skull,Wireless,6,-1,-1,Action,THQ Wireless,,,20.05.2008
Haze,PlayStation 3,4.5,6.2,702,Shooter,Ubisoft,Free Radical Design,20.05.2008,20.05.2008
Penny Arcade's On the Rain-Slick Precipice of Darkness,Xbox 360,7.8,7.9,124,RPG,TBA,Hothead Games,21.05.2008,22.05.2008
Hot Shots Golf: Open Tee 2,PlayStation Portable,8.5,8.5,125,Sports,Sony Computer Entertainment,Clap Hanz,03.06.2008,22.05.2008
Grid,Xbox 360,8.7,8.4,885,Racing,Codemasters,Codemasters,03.06.2008,22.05.2008
Sherlock Holmes: Nemesis,PC,7,7.7,7,Adventure,The Adventure Company,Frogwares,14.04.2008,23.05.2008
Drone Tactics,Nintendo DS,7.4,8.6,23,Strategy,Atlus,Success,13.05.2008,23.05.2008
UEFA Euro 2008,PlayStation 2,7.3,7.5,13,Sports,Electronic Arts,,19.05.2008,27.05.2008
Chameleon,PlayStation Portable,3,5.8,3,Puzzle,UFO Interactive,Starfish,05.05.2008,27.05.2008
Dr. Mario Online Rx,Wii,8.5,8.3,259,Puzzle,Nintendo,Nintendo,26.05.2008,27.05.2008
City Connection,NES,5,7,25,Action,Jaleco,Jaleco,,27.05.2008
Ninja Gaiden II,Xbox 360,8.7,8.5,2217,Action,Tecmo,Microsoft,03.06.2008,26.05.2008
City Connection,Wii,5,6.9,9,Action,Nintendo,Jaleco,26.05.2008,27.05.2008
Mass Effect,PC,9.2,9.1,2666,RPG,Electronic Arts,BioWare,27.05.2008,27.05.2008
I-play Bowling,Wireless,9,7.1,8,Sports,I-play,"Super Happy Fun Fun, Inc.",,28.05.2008
The Dog Island,Wii,7,7.6,39,Adventure,Ubisoft,Yuke's Media Creations,06.05.2008,03.06.2008
Wild Earth: African Safari,Wii,5,6.4,14,Adventure,Majesco,Super X Studios,22.04.2008,04.06.2008
Summon Night: Twin Age,Nintendo DS,8.2,8.5,61,RPG,Atlus,Banpresto,03.06.2008,04.06.2008
LEGO Racers,Wireless,6,6.5,1,Racing,Hands-On Mobile (aka MFORMA),,,04.06.2008
The Chronicles of Narnia: Prince Caspian,Wii,6.3,6,24,Action,Disney Interactive Studios,Traveller's Tales,23.05.2008,04.06.2008
Wolf of the Battlefield: Commando 3,Xbox 360,5.9,6.5,47,Action,Capcom,Backbone Entertainment,11.06.2008,04.06.2008
Robert Ludlum's The Bourne Conspiracy,PlayStation 3,7.3,7.6,251,Action,Vivendi Games,High Moon Studios,03.06.2008,04.06.2008
Millionaire 2009,Wireless,7,-1,-1,Trivia,Capcom,,,04.06.2008
Devil May Cry 3D,Wireless,6,7.6,4,Action,Capcom,Capcom,02.06.2008,04.06.2008
Grid,PC,8.7,8.6,473,Racing,Codemasters,Codemasters,03.06.2008,05.06.2008
The Chronicles of Narnia: Prince Caspian,PC,6.3,7.3,7,Action,Disney Interactive Studios,Traveller's Tales,15.05.2008,05.06.2008
Penny Arcade's On the Rain-Slick Precipice of Darkness,PC,7.8,7.5,97,RPG,,Hothead Games,21.05.2008,06.06.2008
Deca Sports,Wii,4.5,6.3,61,Sports,Hudson Soft,Hudson Soft,13.05.2008,05.06.2008
Chaos Wars,PlayStation 2,7.5,7.3,26,Strategy,O~3 Entertainment,Idea Factory,03.06.2008,06.06.2008
Golf Superstars 2008,Wireless,6,-1,-1,Sports,Gamevil,Gamevil,16.05.2008,06.06.2008
"BlastWorks: Build, Trade, Destroy",Wii,8.1,7.8,81,Action,Majesco,Budcat Creations,10.06.2008,06.06.2008
Death Jr.: Root of Evil,Wii,7.4,7.6,31,Platformer,Eidos Interactive,Backbone Entertainment,27.05.2008,06.06.2008
Wolf of the Battlefield: Commando 3,PlayStation 3,6.2,6.5,42,Action,Capcom,Backbone Entertainment,05.06.2008,06.06.2008
LOL,Nintendo DS,7.5,7,21,Party,Agetec,Route 24,03.06.2008,09.06.2008
Kung Fu Panda,Wireless,7.5,7.5,2,Action,Electronic Arts,IronMonkey Studios,,06.06.2008
Kawasaki Snowmobiles,Wii,2.1,0.9,7,Racing,Bold Games (Destineer),Data Design Interactive,27.05.2008,06.06.2008
Kung Fu Panda,PlayStation 3,7.5,7.4,42,Action,Activision,Luxoflux Corp.,03.06.2008,09.06.2008
The Incredible Hulk,PlayStation 3,6,6.9,95,Action,SEGA,Edge of Reality,05.06.2008,09.06.2008
NovaStrike,PlayStation 3,3.5,5.4,38,Shooter,Sony Computer Entertainment,Tiki Games,05.06.2008,09.06.2008
Kung Fu Panda,Nintendo DS,7.5,7.3,22,Action,Activision,Vicarious Visions,03.06.2008,09.06.2008
Kung Fu Panda,PC,7.4,7.4,18,Action,Activision,Beenox,03.06.2008,09.06.2008
The Incredible Hulk,Xbox 360,6,7.3,203,Action,SEGA,Edge of Reality,05.06.2008,09.06.2008
Dragon Ball Z: Burst Limit,Xbox 360,7.9,7.8,422,Fighting,Atari,Dimps,10.06.2008,10.06.2008
Kung Fu Panda,PlayStation 2,7.5,7.6,19,Action,Activision,XPEC,03.06.2008,10.06.2008
Stronghold Crusader Extreme,PC,4.8,6.6,44,Strategy,Gamecock,FireFly Studios,28.05.2008,10.06.2008
The Incredible Hulk,Wii,5.7,7,27,Action,SEGA,Edge of Reality,05.06.2008,10.06.2008
Blokus World Tour,PC,7.5,7.5,1,Board,MumboJumbo,Funkitron,02.04.2008,10.06.2008
Kung Fu Panda,Wii,7.5,7.5,23,Action,Activision,XPEC,03.06.2008,10.06.2008
Cabela's Trophy Bucks,Wii,5.6,5.8,3,Hunting,Activision Value,Sand Grain Studios,03.06.2008,10.06.2008
Frogger 2,Xbox 360,5.5,5.4,6,Action,Konami,Voltex,11.06.2008,11.06.2008
Don King Presents: Prizefighter,Xbox 360,5,6.3,101,Sports,2K Sports,Venom Games,09.06.2008,10.06.2008
Trials 2: Second Edition,PC,8,7.2,75,Racing,RedLynx,RedLynx,01.03.2008,11.06.2008
Bio Miracle Bokutte Upa,Wii,7,7.5,12,Platformer,Konami,Konami,09.06.2008,11.06.2008
Chaos Theory,PC,6.5,6.5,1,Puzzle,,,22.05.2008,11.06.2008
Dragon Ball Z: Burst Limit,PlayStation 3,7.9,7.8,398,Fighting,Atari,Dimps,10.06.2008,11.06.2008
