title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
2014 FIFA World Cup Brazil,PlayStation 3,7.5,7,54,Sports,Electronic Arts,Electronic Arts,15.04.2014,17.04.2014
Hitman Go,iPhone,8.2,7,3,Strategy,Square Enix,,17.04.2014,23.04.2014
FTL: Faster Than Light,iPad,9.6,7.6,10,Simulation,Independent,Independent,03.04.2014,25.04.2014
"Batman: Arkham Origins -- Cold, Cold Heart",PC,7,-1,-1,Action,Warner Bros. Interactive,WB Games -- Montreal,,25.04.2014
NES Remix 2,Wii U,7.7,8.9,14,Party,Nintendo,,25.04.2014,23.04.2014
Mercenary Kings,PC,8,6.9,63,Action,,Tribute Games,22.07.2013,25.04.2014
Mercenary Kings,PlayStation 4,8,7.1,111,Action,Tribute Games,Tribute Games,01.04.2014,25.04.2014
Kirby: Triple Deluxe,Nintendo 3DS,6,9.3,134,Platformer,Nintendo,Nintendo,02.05.2014,28.04.2014
Mario Golf World Tour,Nintendo 3DS,8.6,8.5,46,Sports,Nintendo,Camelot Software Planning,02.05.2014,24.04.2014
The Last Federation,PC,6.9,6.5,2,Strategy,Arcen Games,Arcen Games,18.04.2014,29.04.2014
Child of Light,Xbox 360,9.3,8.8,18,RPG,Ubisoft,Ubisoft,30.04.2014,29.04.2014
Don't Starve,PlayStation 4,7.5,7.7,169,Adventure,Klei Entertainment,Klei Entertainment,07.01.2014,14.01.2014
The Banner Saga,PC,8.6,8.4,27,Strategy,Versus Evil,Stoic,14.01.2014,14.01.2014
Continue?9876543210,PC,7.9,5.3,6,Adventure,starvingeyes,,03.01.2014,15.01.2014
Broken Age: Act 1,PC,9.5,8.7,59,Adventure,Double Fine Productions,Double Fine Productions,28.01.2014,16.01.2014
Nidhogg,PC,9,7.9,28,Fighting,Messhof,Messhof,,15.01.2014
Joe Danger Infinity,iPhone,8.6,6.8,3,Action,Hello Games,Hello Games,09.01.2014,16.01.2014
Broken Age: Act 1,iPhone,9.5,-1,-1,Adventure,Double Fine Productions,Double Fine Productions,12.06.2014,16.01.2014
X-Men: Battle of the Atom,iPhone,4,6.2,4,Card,Aeria Games & Entertainment,Aeria Games & Entertainment,15.01.2014,17.01.2014
Assassin's Creed Liberation HD,PC,5.2,6.1,56,Action,Ubisoft,Ubisoft,,18.01.2014
Assassin's Creed Liberation HD,Xbox 360,5.2,7.1,18,Action,Ubisoft,Ubisoft,15.01.2014,18.01.2014
Assassin's Creed Liberation HD,PlayStation 3,5.2,6.9,63,Action,Ubisoft,Ubisoft,14.01.2014,18.01.2014
OlliOlli,PC,7.7,8.2,2,Sports,Roll7,Roll7,22.07.2014,21.01.2014
OlliOlli,PlayStation Vita,7.7,6.7,5,Sports,Roll7,Roll7,21.01.2014,21.01.2014
KickBeat,PC,6.5,0.4,2,Music,Zen Studios,Zen Studios,20.01.2014,23.01.2014
Minecraft,PlayStation 3,9.5,8.7,133,Action,,Mojang,17.12.2013,24.01.2014
Minecraft,PlayStation Vita,9.5,9.2,58,Action,Mojang,Mojang,14.10.2014,24.01.2014
Consortium,PC,7.2,6.3,6,Simulation,,Interdimensional Games,08.01.2014,25.01.2014
Tomb Raider: Definitive Edition,Xbox One,9.1,8.8,128,Action,Square Enix,Crystal Dynamics,28.01.2014,25.01.2014
Might and Magic X Legacy,PC,7.3,7.4,16,RPG,Ubisoft,Limbic Entertainment,23.01.2014,28.01.2014
